up
Upload #23
Reader: Backpack reader 2  Site: AA
--------- upload 23 start ---------
E 2015-11-17 15:26:14.63 upload 22 complete
E 2015-11-18 09:01:17.69 supply power ok 19.0V
E 2015-11-18 09:01:17.69 database file opened
E 2015-11-18 09:01:17.69 starting reader after power up
D 2015-11-18 10:10:52.43 00:00:00.61 HA      900_226000538180    7     7
D 2015-11-18 10:10:56.06 00:00:01.00 HA      900_226000538180   11    29
D 2015-11-18 10:10:59.27 00:00:00.10 HA      900_226000538180    2    21
D 2015-11-18 10:11:40.63 00:00:00.61 HR 0000_0000000178692567    7   409
D 2015-11-18 10:11:59.65 00:00:00.91 HR 0000_0000000178692567   10   182
D 2015-11-18 10:12:05.58 00:00:00.30 HA      900_226000538619    4    49
D 2015-11-18 10:12:07.39 00:00:00.50 HA      900_226000538619    6    14
D 2015-11-18 10:12:53.28 00:00:00.10 HA      900_226000087305    2   449
D 2015-11-18 10:12:53.58 00:00:00.10 HA      900_226000087305    2     1
D 2015-11-18 10:16:09.98 00:00:00.02 HA      900_226000684212   11  1948
D 2015-11-18 10:16:13.91 00:00:01.21 HA      900_226000684212   13    28
D 2015-11-18 10:16:15.92 00:00:01.11 HA      900_226000684212   12     7
D 2015-11-18 10:17:38.50 00:00:00.10 HA      900_226000541397    2   806
D 2015-11-18 10:17:39.90 00:00:00.21 HA      900_226000541397    3    12
D 2015-11-18 10:17:40.91 00:00:00.40 HA      900_226000541397    5     7
D 2015-11-18 10:17:41.61 00:00:00.10 HA      900_226000541397    2     2
D 2015-11-18 10:17:44.83 00:00:00.21 HA      900_226000541397    3    30
D 2015-11-18 10:17:45.34 00:00:00.61 HA      900_226000541397    7     2
D 2015-11-18 10:19:11.83 00:00:00.00 HA      900_226000091584    1   852
D 2015-11-18 10:19:13.24 00:00:00.10 HA      900_226000091584    2    13
D 2015-11-18 10:19:14.45 00:00:00.30 HA      900_226000091584    4    10
D 2015-11-18 10:19:14.15 00:00:01.50 HA      900_226000091584    6     3
D 2015-11-18 10:19:42.63 00:00:00.00 HA      900_226000091584    1   267
D 2015-11-18 10:19:46.06 00:00:00.30 HA      900_226000091734    4    33
D 2015-11-18 10:19:46.76 00:00:00.10 HA      900_226000082617    2     3
D 2015-11-18 10:20:41.24 00:00:00.00 HA      900_226000539250    1   538
D 2015-11-18 10:20:42.64 00:00:00.00 HA      900_226000539250    1    13
D 2015-11-18 10:20:43.75 00:00:00.61 HA      900_226000539250    7    10
D 2015-11-18 10:20:46.17 00:00:00.40 HA      900_226000539250    5    17
D 2015-11-18 10:32:35.92 00:00:00.32 HR 0000_0000000178692567    4  7008
D 2015-11-18 10:32:36.64 00:00:00.21 HR 0000_0000000178692567    3     3
D 2015-11-18 10:32:38.96 23:59:59.21 HR 0000_0000000178692567    3    10
D 2015-11-18 10:32:38.38 00:00:00.30 HR 0000_0000000178692567    4     1
D 2015-11-18 10:32:38.88 23:59:59.12 HR 0000_0000000178692567    2     1
D 2015-11-18 10:35:07.32 00:00:02.35 HA      900_226000567623   24  1459
D 2015-11-18 10:35:13.24 00:00:00.93 HA      900_226000567623   10    34
D 2015-11-18 10:35:14.88 00:00:01.03 HA      900_226000567623   11     6
D 2015-11-18 10:39:56.95 00:00:00.00 HR 0000_0000000178692567    1  2765
D 2015-11-18 10:39:58.08 00:00:00.61 HR 0000_0000000178692567    7    10
D 2015-11-18 10:39:58.99 00:00:00.51 HR 0000_0000000178692567    6     2
D 2015-11-18 10:40:00.22 00:00:00.31 HR 0000_0000000178692567    4     6
D 2015-11-18 10:40:00.73 00:00:00.62 HR 0000_0000000178692567    7     1
D 2015-11-18 10:40:02.36 00:00:00.83 HR 0000_0000000178692567    9     9
D 2015-11-18 10:40:06.04 00:00:01.96 HR 0000_0000000178692567   20    27
D 2015-11-18 10:40:08.40 00:00:00.00 HR 0000_0000000178692567    1     3
D 2015-11-18 10:40:11.56 00:00:00.20 HR 0000_0000000178692567    3    30
D 2015-11-18 10:40:11.37 00:00:01.72 HR 0000_0000000178692567    8     5
D 2015-11-18 10:40:14.01 00:00:00.31 HR 0000_0000000178692567    4     8
D 2015-11-18 10:41:57.96 00:00:00.20 HA      900_226000533709    3  1019
D 2015-11-18 10:41:59.49 00:00:00.00 HA      900_226000533709    1    12
D 2015-11-18 10:42:05.08 00:00:00.31 HA      900_226000533709    4    54
D 2015-11-18 10:42:06.21 00:00:00.00 HA      900_226000533709    1     7
D 2015-11-18 10:42:06.62 00:00:00.00 HA      900_226000533709    1     3
D 2015-11-18 10:42:19.42 00:00:00.61 HA      900_226000533709    7   125
D 2015-11-18 10:42:36.40 00:00:00.10 HA      900_226000533709    2   160
D 2015-11-18 10:42:36.02 00:00:00.00 HA      900_226000533709    1     4
D 2015-11-18 10:42:38.23 00:00:00.41 HA      900_226000533709    5    11
