FID_,ALIVE,READER1,READER2,NOTES,DEAD,READERTIME,DRY,DATE,PIT,GPSTIME,TIME,PITNUM,Easting,Northing
,0,1,0,539066 d,0,0,0,,0,1356,0, ,568732.092352999960000,4100603.744789999900000
,0,1,0,647218 d,0,0,0,,0,1350,0, ,568729.731649999970000,4100602.431249999900000
,0,1,0,538754 d,0,0,0,,0,1358,0, ,568733.993428000020000,4100606.903659999800000
,0,1,0,720113 d,0,0,0,,0,1359,0, ,568733.090690999990000,4100608.560490000100000
,0,0,1,096689 d,0,0,0,,0,1400,0, ,568724.761346000010000,4100612.190930000000000
,0,1,0,684772 d,0,0,0,,0,1401,0, ,568731.852472999950000,4100615.022169999800000
,0,0,1,540266 d,0,0,0,,0,1402,0, ,568727.807450999970000,4100620.351600000200000
,0,0,1,083315 d,0,0,0,,0,1403,0, ,568722.871723999970000,4100625.858700000200000
,0,1,0,085658 d,0,0,0,,0,1404,0, ,568731.431914999960000,4100612.060240000000000
,0,0,1,538088 d,0,0,0,,0,1405,0, ,568728.524412999980000,4100623.315940000100000
,0,1,0,082604 d,0,0,0,,0,1405,0, ,568729.593383000000000,4100619.441579999900000
,0,1,0,092368 d,0,0,0,,0,1408,0, ,568731.100358000030000,4100634.616220000200000
,0,1,0,533227 d,0,0,0,,0,1408,0, ,568726.570746000040000,4100626.628390000200000
,0,1,0,084339 d,0,0,0,,0,1409,0, ,568733.560248999970000,4100623.726689999900000
,0,0,1,122197 d,0,0,0,,0,1409,0, ,568724.081378999980000,4100622.910010000200000
,0,0,1,116753 d,0,0,0,,0,1410,0, ,568718.645452999980000,4100635.254610000200000
,0,1,0,104314 d,0,0,0,,0,1411,0, ,568718.067673000040000,4100633.400849999900000
,0,1,0,094715 d,0,0,0,,0,1412,0, ,568721.604968999980000,4100635.833389999800000
,0,0,1,532664 d,0,0,0,,0,1413,0, ,568716.351813000040000,4100643.926610000000000
,0,1,0,538571 d,0,0,0,,0,1413,0, ,568713.856435999970000,4100640.947819999900000
,0,0,1,541229 d,0,0,0,,0,1413,0, ,568719.161616000000000,4100644.689069999800000
,0,1,0,533368 d,0,0,0,,0,1414,0, ,568715.733464000050000,4100647.064999999900000
,0,1,0,080772 d,0,0,0,,0,1415,0, ,568715.688388000010000,4100652.611850000000000
,0,0,1,082742 d,0,0,0,,0,1415,0, ,568713.164467999940000,4100653.146060000200000
,0,1,0,094726 d,0,0,0,,0,1416,0, ,568710.954978000020000,4100651.463940000200000
,0,0,1,541296 d,0,0,0,,0,1416,0, ,568713.415792000010000,4100658.695319999900000
,0,1,0,569103 d,0,0,0,,0,1417,0, ,568713.484905999970000,4100650.190150000200000
,0,0,1,091527 d,0,0,0,,0,1417,0, ,568724.311075999980000,4100649.353610000100000
,0,1,1,533345,0,0,0,,0,1418,0, ,568724.335120999950000,4100646.395289999900000
,0,0,1,079598 d,0,0,0,,0,1418,0, ,568716.555048999960000,4100655.392500000100000
,0,0,1,112069 d,0,0,0,,0,1419,0, ,568715.646310999990000,4100657.788910000100000
