up
Upload #22
Reader: Backpack reader 2  Site: AA
--------- upload 22 start ---------
E 2015-11-02 15:04:08.64 upload 21 complete
E 2015-11-16 07:48:42.53 supply power ok 18.9V
E 2015-11-16 07:48:42.53 database file opened
E 2015-11-16 07:48:42.53 starting reader after power up
D 2015-11-16 11:19:11.19 00:00:00.20 HA      900_226000092349    3     2
D 2015-11-16 11:19:24.77 00:00:00.20 HA      900_226000092349    3   122
D 2015-11-16 11:19:25.18 00:00:00.00 HA      900_226000092349    1     1
D 2015-11-16 11:19:41.90 00:00:00.10 HA      900_226000092349    2   165
D 2015-11-16 11:20:55.49 00:00:00.10 HA      900_226000082599    2   727
D 2015-11-16 11:20:57.00 00:00:00.20 HA      900_226000082599    3    13
D 2015-11-16 11:21:03.74 00:00:01.01 HA      900_226000588151   11    64
D 2015-11-16 11:21:50.64 00:00:01.41 HA      900_226000539956   15   455
D 2015-11-16 11:21:54.46 00:00:01.12 HA      900_226000539956   12    23
D 2015-11-16 11:22:37.03 00:00:01.51 HA      900_226000539956   16   411
D 2015-11-16 11:23:20.90 00:00:02.02 HA      900_226000539956   21   420
D 2015-11-16 11:24:45.22 00:00:00.60 HA      900_226000648678    7   817
D 2015-11-16 11:24:45.33 00:00:02.60 HA      900_226000648678    7     4
D 2015-11-16 11:24:50.15 00:00:00.50 HA      900_226000648678    6    31
D 2015-11-16 11:25:08.97 00:00:00.00 HA      900_226000088659    1   181
D 2015-11-16 11:25:11.29 00:00:01.00 HA      900_226000088659   11    22
D 2015-11-16 11:25:15.60 00:00:00.71 HA      900_226000088659    8    32
D 2015-11-16 11:26:03.33 00:00:00.00 HA      900_226000538109    1   466
D 2015-11-16 11:26:04.74 00:00:00.41 HA      900_226000538109    5    13
D 2015-11-16 11:26:06.06 00:00:00.20 HA      900_226000538109    3     8
D 2015-11-16 11:26:06.96 00:00:00.21 HA      900_226000538109    3     6
D 2015-11-16 11:27:29.49 00:00:00.20 HA      900_226000568899    3   816
D 2015-11-16 11:27:34.13 00:00:00.30 HA      900_226000568899    4    43
D 2015-11-16 11:27:34.93 00:00:00.40 HA      900_226000568899    5     4
D 2015-11-16 11:27:36.24 00:00:00.30 HA      900_226000568899    4     8
